* FEAR Boundary condition specification file
* * BC id = Boundary condition id input into Patran and appearing in the .ntl file
* * BC Type = BC type input into Patran
* * Flag1 = 0 for constant, read next line for constant value, 1 for function of time read the time dependant values into a vector
* * Flag2 = 0 unless this BC is a trajectory, 1 = POST style trajectory, 2 = CMA/FIAT style trajectory, 3 = time vs generic BC value  
* * FLAG3 = real number for constant spatial multipler, -1 for node based spatial field, -2 coordinate based spatial field, follows trajectory
* * Flag4 = 0 for scalar, 1 for vector --> only supported for BC's not a f(t), future upgrade will make vector BC types f(t)
* BC id   BCType   Flag1   Flag2  Flag3   Flag4
* BC #1 
* 200   2   0   0    1.0   0
* 750000   
* BC #2  3E trajectory scale factor reset to 1.0, spatial factor here is for margin cases
400   4   1   2  0.427673    0
1   1   0.03048
0.00    -79574.08   0.0000  0.00000E+00 2.35963E-01 0.4
1.00    -83631.21   0.0000  0.00000E+00 2.32383E-01 0.4
2.00    -87519.67   0.0000  0.00000E+00 2.29212E-01 0.4
3.00    -91208.96   0.0000  0.00000E+00 2.26435E-01 0.4
4.00    -94662.43   0.0000  0.00000E+00 2.24040E-01 0.4
5.00    -97800.33   0.0000  0.00000E+00 2.22016E-01 0.4
6.00    -86058.16   0.0000  0.00000E+00 2.20259E-01 0.4
7.00    -75460.78   0.0000  0.00000E+00 2.18661E-01 0.4
8.00    -65726.72   0.0000  0.00000E+00 2.17191E-01 0.4
8.94    -57156.55   0.0000  0.00000E+00 2.15888E-01 0.4
9.94    -48592.35   0.0000  0.00000E+00 2.14532E-01 0.4
10.94   -40640.36   0.0000  0.00000E+00 2.13134E-01 0.4
11.94   -33515.57   0.0000  0.00000E+00 2.11580E-01 0.4
12.94   -29080.29   0.0000  0.00000E+00 2.20147E-01 0.4
13.94   -26622.25   0.0000  0.00000E+00 2.36384E-01 0.4
14.94   -24320.67   0.0000  0.00000E+00 2.50809E-01 0.4
15.94   -22131.49   0.0000  0.00000E+00 2.63628E-01 0.4
16.94   -20035.79   0.0000  0.00000E+00 2.74878E-01 0.4
17.94   -18032.20   0.0000  0.00000E+00 2.84485E-01 0.4
18.94   -16116.80   0.0000  0.00000E+00 2.92415E-01 0.4
19.94   -14264.95   0.0000  0.00000E+00 2.98803E-01 0.4
20.94   -12415.62   0.0000  0.00000E+00 3.04060E-01 0.4
21.94   -10546.06   0.0000  0.00000E+00 3.08336E-01 0.4
22.94   -8641.53    0.0000  0.00000E+00 3.11730E-01 0.4
23.94   -6687.42    0.0000  0.00000E+00 3.14336E-01 0.4
24.94   -4669.51    0.0000  0.00000E+00 3.16246E-01 0.4
25.94   -2573.70    0.0000  0.00000E+00 3.17546E-01 0.4
26.94   -386.89     0.0000  0.00000E+00 3.18309E-01 0.4
27.94   1913.61     0.0152  4.28568E-02 3.18656E-01 0.4
28.94   4378.15     0.0262  3.22495E-02 3.18847E-01 0.4
29.94   7026.75     0.0383  2.93286E-02 3.18960E-01 0.4
30.94   9869.16     0.0512  2.79576E-02 2.07085E-01 0.4
31.94   13628.47    0.0651  2.57302E-02 2.05055E-01 0.4
32.94   17813.67    0.0800  2.41825E-02 2.02933E-01 0.4
33.94   22413.50    0.0960  2.30556E-02 2.00767E-01 0.4
34.94   27424.57    0.1131  2.22123E-02 1.98598E-01 0.4
35.94   32848.70    0.1316  2.15722E-02 1.96462E-01 0.4
36.94   38688.34    0.1515  2.10832E-02 1.94384E-01 0.4
37.94   44924.89    0.1728  2.07080E-02 1.92333E-01 0.4
38.94   51559.31    0.1955  2.04206E-02 1.90306E-01 0.4
39.94   58598.27    0.2199  2.02026E-02 1.88302E-01 0.4
40.94   66048.59    0.2458  2.00400E-02 1.86317E-01 0.4
41.94   73898.82    0.2734  1.99204E-02 1.84322E-01 0.4
42.94   81901.31    0.3026  1.98972E-02 1.82317E-01 0.4
43.94   90307.71    0.3336  1.98913E-02 1.80295E-01 0.4
44.94   99125.22    0.3663  1.98984E-02 1.78255E-01 0.4
45.94   108376.38   0.4009  1.99161E-02 1.76211E-01 0.4
46.94   118087.73   0.4374  1.99427E-02 1.74178E-01 0.4
47.94   128297.25   0.4760  1.99768E-02 1.72163E-01 0.4
48.94   139331.83   0.5176  2.00035E-02 1.69939E-01 0.4
49.94   150918.29   0.5616  2.00373E-02 1.67785E-01 0.4
50.94   163087.60   0.6081  2.00778E-02 1.65712E-01 0.4
51.94   175871.90   0.6573  2.01244E-02 1.63726E-01 0.4
52.94   189304.93   0.7094  2.01772E-02 1.61836E-01 0.4
53.94   203422.15   0.7645  2.02359E-02 1.60049E-01 0.4
54.94   218260.75   0.8229  2.03008E-02 1.58372E-01 0.4
55.94   233859.78   0.8848  2.03719E-02 1.56812E-01 0.4
56.94   250260.47   0.9504  2.04495E-02 1.55377E-01 0.4
57.94   267501.46   1.0201  2.05339E-02 1.54071E-01 0.4
58.94   285621.45   1.0940  2.06253E-02 1.52904E-01 0.4
59.94   304670.52   1.1726  2.07249E-02 1.51888E-01 0.4
60.94   324672.07   1.2561  2.08325E-02 1.51026E-01 0.4
61.94   345634.22   1.3447  2.09485E-02 1.50320E-01 0.4
62.94   367596.48   1.4387  2.10738E-02 1.49786E-01 0.4
63.94   390602.73   1.5386  2.12101E-02 1.49444E-01 0.4
64.94   414697.32   1.6450  2.13590E-02 1.49313E-01 0.4
65.94   439908.54   1.7583  2.15218E-02 1.49409E-01 0.4
66.94   466199.19   1.8787  2.16988E-02 1.49739E-01 0.4
67.94   493594.81   2.0068  2.18926E-02 1.50330E-01 0.4
68.94   522130.38   2.1435  2.21056E-02 1.51217E-01 0.4
69.94   551929.89   2.2901  2.23425E-02 1.52456E-01 0.4
70.94   583475.90   2.4502  2.26116E-02 1.54156E-01 0.4
71.94   616767.83   2.6242  2.29104E-02 1.56287E-01 0.4
72.94   651683.23   2.8121  2.32353E-02 1.58802E-01 0.4
73.94   688227.66   3.0145  2.35852E-02 1.61690E-01 0.4
74.94   726422.55   3.2323  2.39594E-02 1.64947E-01 0.4
75.94   766303.39   3.4664  2.43573E-02 1.68567E-01 0.4
76.94   807904.84   3.7177  2.47781E-02 1.72548E-01 0.4
77.94   851260.93   3.9872  2.52211E-02 1.76882E-01 0.4
78.94   896409.48   4.2759  2.56850E-02 1.81562E-01 0.4
79.94   943220.40   4.5836  2.61665E-02 1.86545E-01 0.4
80.94   991532.42   4.9095  2.66615E-02 1.91780E-01 0.4
81.94   1041290.40  5.2536  2.71668E-02 1.97225E-01 0.4
82.94   1092460.89  5.6157  2.76792E-02 2.02834E-01 0.4
